Alimento (100 gramos);Calorias (Kcal.);Hidratos de Carb.;Proteinas;Grasas;Fibra;Tipo
Ketchup;98;24;2;0;0;Procesado
Salmon;182;0;18;12;0;Pescado
Cereales Cornflakes;368;85;9;2;11;Cereal
Gallo;81;0;17;1;0;Carne
Queso Emmental;377;0;29;29;0;Leche-Derivados
Cerezas;47;12;0;2;0;Fruta
Gatorade;39;10;0;0;0;Bebida
Salsa Ketchup;98;24;2;0;0;Procesado
Esparragos Enlatados;14;1;2;0;0;Verdura
Endibias;11;1;2;0;0;Verdura
Harina Trigo, Panificada;337;75;11;1;3;Cereal
Nuez Brasil;617;4;12;62;9;Frutos Secos
Gofio Millo;377;83;6;5;0;Cereal
Pavo;107;0;22;2;0;Carne
Mantequilla;740;0;0;82;0;Aceite
Yogur Liquido;78;11;3;2;0;Leche-Derivados
Cacao Polvo;357;11;20;24;38;Semillas
Arenque Ahumado;205;0;26;11;0;Pescado
Pepinillos en vinagre;12;2.1;0.7;0.1;1;Verdura
Besugo;118;0;16;6;0;Pescado
Bacon;427;0;14;41;0;Carne
Aguacate;223;2;4;22;3;Fruta
Coco;646;16;6;62;14;Fruta
Chirimoya;178;0;19;11;0;Fruta
Leche Vaca, Entera;60;5;3;3;0;Leche-Derivados
Fresas;26;6;1;0;2;Fruta
Mango;57;12.45;0.6;0.47;1.7;Fruta
Sesos Cordero;110;0;10;8;0;Carne
Ancas Rana, De;68;0;16;0;0;Carne
Pan Tostado, Blanco;297;65;10;2;3;Cereal
Carne Vaca, Solomillo;272;0;17;23;0;Carne
Hamburguesas Vacuno;265;5;15;20;0;Carne
Uvas Pasas;243;63;2;0;6;Fruta
Tocino;427;0;14;41;0;Carne
Hamburguesa Burger- King;290;29;15;13;0;Procesado
Cebolla;23;5;1;0;1;Verdura
Rabo Vacuno;171;0;20;10;0;Carne
Leche de Cabra;66;5;3;4;0;Leche-Derivados
Leche, Condensada M.G. 7.50 %;137;10;6;8;0;Leche-Derivados
Mazapan;443;49;9;25;6;Procesado
Sesos Cerdo;132;0;11;9;0;Carne
Limon;15;3;1;0;5;Fruta
Coles Bruselas;26;3;4;0;4;Verdura
Arroz con Leche;80;13;3;2;0;Cereal
Cordero Carne, Magra;122;0;20;3;0;Carne
Dorada;140;0;20.82;6.34;0;Pescado
Tapioca;359;95;0;0;0;Especias-Condimento
Pulpo;57;2;11;1;0;Molusco
Pollo, Frito Kentucky;155;5;13;9;0;Procesado
Piña;46;12;0;0;1;Fruta
Cafe Torrefacto;183;2;13;13;66;Bebida
Sepia;79;0;16;1;0;Molusco
Turron Media;470;57;10;24;7;Procesado
Perejil;21;0;5;0;9;Verdura
Lomo, Cerdo Embuchado;386;0;50;21;0;Carne
Peras;41;11;0;0;2;Fruta
Col;20;4;2;0;3;Verdura
Maiz, Dulce Mazorca;123;23;4;2;5;Cereal
Higado Cerdo;154;2;21;7;0;Carne
Pan Con Chocolate;419;51;7;21;2;Procesado
Caracol Terrestre;80;0;16;1;0;Molusco
Margarina Vegetal;746;0;0;80;0;Aceite
Berenjenas;14;3;1;0;2;Verdura
Magdalena;397;42;6;23;1;Procesado
Aceite Maiz;899;0;0;100;0;Aceite
Uvas;61;16;1;0;0;Fruta
Carne Cerdo, Grasa;329;0;16;30;0;Carne
Yogur Sabores;88;14;4;2;0;Leche-Derivados
Cubitos Sopa;154;8;23;3;0;Procesado
Cuajada;90;6;5;5;0;Leche-Derivados
Crema Champan, De;62;5;1;4;0;Bebida
Queso, Manchego Curado;420;1;32;32;0;Leche-Derivados
Salsa Boloñesa;139;2;8;11;0;Procesado
Refresco Ligth;1;0;0;0;0;Bebida
Vermut Seco;118;6;0;0;0;Bebida
Soja Brotes;9;1;2;0;3;Legumbre
Rodaballo;102;1;16;4;0;Pescado
Raviolis Tomate, Salsa;106;13;5;4;0;Procesado
Berros;14;1;3;0;3;Verdura
Pescadilla;92;0;21;1;0;Pescado
Platano;121;31.8;1.3;0;2.3;Fruta
Yogur Desnatado;52;6;5;1;0;Leche-Derivados
Caviar Ruso;262;0;26;16;0;Pescado
Queso Camembert;300;0;23;23;0;Leche-Derivados
Extracto Carne;174;3;38;1;0;Carne
Lechuga;12;1;1;0;2;Verdura
Carne Vaca, Magra;123;0;20;5;0;Carne
Queso Brie;361;1;23;28;0;Leche-Derivados
Harina Soja;447;24;37;24;12;Legumbre
Queso Babibel, Tipo;314;0;23;25;0;Leche-Derivados
Bombones Media;458;66;5;21;0;Leche-Derivados
Berberechos Cocidos;48;0;11;0;0;Molusco
Sardinas;135;0;19;5;0;Pescado
Carne Cordero, Chuleta;386;0;15;36;0;Carne
Galletas Media;436;74;7;14;5;Procesado
Bacalao Salazon, remojado;138;0;32;1;0;Pescado
Aceite Soja;899;0;0;100;0;Aceite
Manhattan Cocktail;164;8;0;0;0;Bebida
Mayonesa;718;0;2;79;0;Procesado
Cafe Infusion;2;0;0;0;0;Bebida
Nectarina;64;17.1;0.6;0;2;Fruta
Chanquetes;79;2;11;3;0;Pescado
Acerolas;31;8;0;0;0;Fruta
Aceite de Cacahuete;899;0;0;100;0;Aceite
Sesos Ternera;110;0;10;8;0;Carne
Conejo;124;0;22;4;0;Carne
Salchichas Enlatadas;243;0;13;20;0;Carne
Atun Conserva;289;0;23;22;0;Pescado
Alcachofas;22;3;2;0;11;Verdura
